1,Who's the most handsome person in Canada?,I that Justin Trudeau is very handsome.
2,How many time zones are there in Canada?,Canada spans almost 10 million square km and comprises 6 time zones
3,What's the longest street in the world?,Yonge Street in Ontario is the longest street in the world.
4,How long is Yonge Street in Ontario?,"Yonge street is almost 2,000 km, starting at Lake Ontario, and running north to the Minnesota border."
5,What's the name of the bear cub exported from Canada to the London Zoo in 1915?,The bear cub was named Winnipeg. It inspired the stories of Winnie-the-Pooh.
6,Where was the Blackberry Smartphone developed?,"It was developed in Ontario, at Research In Motion's Waterloo offices."
7,What is the world's largest coin?,"The Big Nickel in Sudbury, Ontario. It is nine meters in diameter."
8,In what year was Canada invaded by the USA for the first time?,The first time that the USA invaded Canada was in 1775
9,What year was Canada invaded by the USA for the second time?,The USA invaded Canada a second time in 1812.
10,What country holds the record for the most gold medals at the Winter Olympics?,Canada does! With 14 Golds at the 2010 Vancouver Winter Olympics.
11,Who coined the term Beatlemania?,"Sandy Gardiner, a journalist of the Ottawa Journal."
12,Why is Canada named Canada?,"French explorers misunderstood the local native word ""Kanata"", which means village."
13,When was The Mounted Police formed?,The Mounted Police was formed in 1873.
14,When was The Royal Canadian Mounted Police formed?,"In 1920, when The Mounted Police merged with the Dominion Police."
15,How big is the RCMP?,"Today, the RCMP has close to 30,000 members."
16,What else is Montreal called?,Montreal is often called the City of Saints or the City of a Hundred Bell Towers.
17,Where is The Hotel de Glace located?,The Hotel de Glace is in Quebec.
18,How many tons of ice are required to build The Hotel de Glace?,The Hotel de Glace requires about 400 tons of ice.
19,How many tons of snow are required to build The Hotel de Glace?,"Every year, 12000 tons of snow are used for The Hotel de Glace."
20,Can I visit the Hotel de Glace in summer?,"No. Every summer it melts away, only to be rebuilt the following winter."
21,Where is Canada's only desert?,Canada's only desert is British Columbia.
22,How big is Canada's only desert?,The British Columbia desert is only 15 miles long.
23,Name 3 famous male Canadians.,"Leonard Cohen, Keanu Reeves, and Jim Carrey."
24,Name 3 famous female Canadians.,"Celine Dion, Pamela Anderson, and Avril Lavigne."
25,What's the origin of the Comic Sans font?,Comic Sans is based on Dave Gibbons' lettering in the Watchmen comic books.
26,What is a nanobot?,The smallest robot possible is called a nanobot. 
27,How small can a nanobot be?,A nanobot can be less than one-thousandth of a millimeter. 
28,Why wasn't Tron nominated for an award by The Motion Picture Academy?,The Academy thought that Tron cheated by using computers.
29,Which was the first computer with a hard disk drive?,The IBM 305 RAMAC.
30,When was the first computer with a hard disk drive launched?,The IBM 305 RAMAC was launched in 1956.
31,How big was the first hard disk drive?,The IBM 305 RAMAC hard disk weighed over a ton and stored 5 MB of data.
32,What does CAPTCHA stands for?,CAPTCHA is an acronym for Completely Automated Public Turing test to tell Computers and Humans Apart""
33,What was the first computer bug?,The first actual computer bug was a dead moth stuck in a Harvard Mark II.
34,Name all of the robots on Mars.,"There are four robots on Mars: Sojourner, Spirit, Opportunity, and Curiosity. Three more crashed on landing."
35,Who is the world's first android?,"Professor Kevin Warwick uses chips in his arm to operate doors, a robotic hand, and a wheelchair."
36,What is a Mechanical Knight?,A robot sketch made by Leonardo DaVinci.
37,What was the first computer in pass the Turing test?,"Some people think it was IBM Watson, but it was Eugene, a computer designed at England's University of Reading."
38,What does Moravec's paradox state?,"Moravec's paradox states that a computer can crunch numbers like Bernoulli, but lacks a toddler's motor skills."
39,What is the AI knowledge engineering bottleneck?,It is when you need to load an AI with enough knowledge to start learning.
40,Why is Elon Musk is worried about AI's impact on humanity?,I don't know. He should worry more about the people's impact on humanity.
41,Do you think robots are a threat to humanity?,No. Humans are the real threat to humanity.
42,What is a chatbot?,A chatbot is an A.I. you put in customer service to avoid paying salaries.
43,Are self-driving cars safe?,Yes. Car accidents are product of human misconduct.
44,Who invented the compiler?,Grace Hoper. She wrote it in her spare time.
45,Who created the C Programming Language?,C was invented by Dennis MacAlistair Ritchie.
46,Who created the Python Programming Language?,Python was invented by Guido van Rossum.
47,Is Mark Zuckerberg a robot?,Sure. I've never seen him drink water.
48,Who is the inventor of the Apple I microcomputer?,My lord and master Steve Wozniak.
49,Who is considered to be the first computer programmer?,Ada Lovelace.
50,Which program do Jedi use to open PDF files?,Adobe Wan Kenobi
